PrénomCorrigé;PrénomOrigine
alizéa;alizea
alizée;alizee
aloé;aloe
aloïs;alois
aloïse;aloise
altaïr;altair
althéa;althea
alwéna;alwena
alyséa;alysea
alysée;alysee
alyzé;alyze
alyzéa;alyzea
alyzée;alyzee
amadéo;amadeo
amaël;amael
amaëlle;amaelle
amaïa;amaia
amàlia;amalia
amé;ame
amédé;amede
amédée;amedee
amèle;amele
amélia;amelia
amélie;amelie
amélien;amelien
amélina;amelina
améline;ameline
amély;amely
amélya;amelya
amélyne;amelyne
amélys;amelys
améthyste;amethyste
amîn;amin
aminé;amine
amîr;amir
anaé;anae
anaée;anaee
anaël;anael
anaële;anaele
anaëlle;anaelle
anahé;anahe
anaïa;anaia
anaïck;anaick
anaïde;anaide
anaïg;anaig
anaïk;anaik
anaïka;anaika
anaïs;anais
anaïse;anaise
anaïssa;anaissa
andéol;andeol
andré;andre
andréa;andrea
andréane;andreane
andréanne;andreanne
andréas;andreas
andreï;andrei
andréia;andreia
andrés;andres
anéa;anea
anélia;anelia
anélya;anelya
anémone;anemone
anés;anes
angéla;angela
angèle;angele
angélia;angelia
angélica;angelica
angélie;angelie
angélika;angelika
angélina;angelina
angéline;angeline
angélino;angelino
angélique;angelique
angélo;angelo
angélyna;angelyna
angélyne;angelyne
anicé;anice
anicée;anicee
annaé;annae
annaël;annael
annaëlle;annaelle
annaïck;annaick
annaïg;annaig
annaïk;annaik
annaïs;annais
anne-bénédicte;anne-benedicte
anne-gaël;anne-gael
anne-gaëlle;anne-gaelle
anthéa;anthea
antinéa;antinea
arès;ares
arié;arie
arièle;ariele
arilès;ariles
arlène;arlene
armèle;armele
arsène;arsene
artémis;artemis
asaël;asael
asmâ;asma
asmâa;asmaa
assétou;assetou
assïa;assia
astrée;astree
athanaël;athanael
athéna;athena
athénais;athenais
aucéane;auceane
audélia;audelia
auphélie;auphelie
auréa;aurea
auréane;aureane
aurégane;auregane
aurèl;aurel
aurèle;aurele
aurélia;aurelia
aurélian;aurelian
auréliane;aureliane
aurélie;aurelie
aurélien;aurelien
auréline;aureline
aurélio;aurelio
aurély;aurely
aurélya;aurelya
avigaïl;avigail
avishaï;avishai
awéna;awena
axèle;axele
âya;aya
ayamé;ayame
aymé;ayme
aymène;aymene
ayméric;aymeric
aysegül;aysegul
ayyûb;ayyub
azaël;azael
azalaïs;azalais
azalée;azalee
azélia;azelia
azélie;azelie
azéline;azeline
azélya;azelya
azélys;azelys
azénor;azenor
bafodé;bafode
baïa;baia
baïdy;baidy
barnabé;barnabe
barthélemy;barthelemy
bartholomé;bartholome
bartolomé;bartolome
béatrice;beatrice
béatrix;beatrix
béatriz;beatriz
béchir;bechir
belaïd;belaid
bélinda;belinda
béline;beline
bénédict;benedict
bénédicte;benedicte
béni;beni
benoît;benoit
benoîte;benoite
béranger;beranger
berangère;berangere
bérat;berat
bérenger;berenger
berengère;berengere
bérénice;berenice
béryl;beryl
béryle;beryle
béthanie;bethanie
bethsabée;bethsabee
betül;betul
béverly;beverly
bienaimé;bienaime
bienaimée;bienaimee
bilal;bilâl
björn;bjorn
bouthaïna;bouthaina
brésil;bresil
briséis;briseis
brivaël;brivael
bünyamin;bunyamin
büsra;busra
caïn;cain
caïs;cais
calliopé;calliope
calliopée;calliopee
camélia;camelia
caméllia;camellia
camélya;camelya
carène;carene
carméla;carmela
cassiopée;cassiopee
cataléya;cataleya
cathérine;catherine
céane;ceane
cécil;cecil
cécile;cecile
cécilia;cecilia
cécilie;cecilie
cécily;cecily
cécilya;cecilya
cédric;cedric
cédrick;cedrick
cédrik;cedrik
cédrine;cedrine
céléna;celena
célène;celene
célénia;celenia
célénie;celenie
célénya;celenya
céleste;celeste
célestin;celestin
célestine;celestine
célia;celia
célian;celian
céliana;celiana
céliane;celiane
célie;celie
célien;celien
célina;celina
céline;celine
célio;celio
célya;celya
célyan;celyan
célyana;celyana
célyane;celyane
célyann;celyann
célyna;celyna
célyo;celyo
céréna;cerena
cérine;cerine
césaire;cesaire
césar;cesar
césarine;cesarine
cézanne;cezanne
chadène;chadene
chahïn;chahin
chahïne;chahine
chahinèze;chahineze
chaï;chai
chaïd;chaid
chaïli;chaili
chaïly;chaily
chaïm;chaim
chaïma;chaima
chaïmaa;chaimaa
chaïmae;chaimae
chaïn;chain
chaïna;chaina
chaïnez;chainez
chaïneze;chaineze
chanaël;chanael
chanaëlle;chanaelle
charlélie;charlelie
charlène;charlene
cheickné;cheickne
cheïma;cheima
chérazade;cherazade
chérif;cherif
chérifa;cherifa
chérine;cherine
chéryl;cheryl
chéryne;cheryne
childéric;childeric
chimène;chimene
chléa;chlea
chléo;chleo
chloé;chloe
chloée;chloee
chouaïb;chouaib
chrislène;chrislene
chrismaël;chrismael
'christèle;christele ' non trouvé
chrystèle;chrystele
çinar;cinar
circé;circe
ciré;cire
cissé;cisse
cléa;clea
cléandre;cleandre
cléane;cleane
cléanne;cleanne
cléia;cleia
clélia;clelia
clélie;clelie
clélya;clelya
clémence;clemence
clément;clement
clémentin;clementin
clémentine;clementine
clémie;clemie
cléo;cleo
cléonice;cleonice
cléophée;cleophee
cléore;cleore
cléry;clery
cléya;cleya
clhoé;clhoe
cloé;cloe
cloée;cloee
cloélia;cloelia
côme;come
cordélia;cordelia
cornélia;cornelia
cristèle;cristele
cybèle;cybele
cybélia;cybelia
daël;dael
dafné;dafne
daïana;daiana
daïna;daina
danaé;danae
danaël;danael
danaëlle;danaelle
daniéla;daniela
danièle;daniele
'danièlle;danielle ' danielle reste majoritaire
danté;dante
daphné;daphne
daphnée;daphnee
darlène;darlene
déa;dea
débora;debora
déborah;deborah
defné;defne
délhia;delhia
délia;delia
délice;delice
délicia;delicia
délina;delina
délinda;delinda
délio;delio
délisia;delisia
délizia;delizia
délphine;delphine
délya;delya
délynda;delynda
dénia;denia
déniz;deniz
dénys;denys
désirée;desiree
destinée;destinee
déva;deva
dévan;devan
dévann;devann
déven;deven
dévon;devon
dévy;devy
dhélia;dhelia
diadié;diadie
diariétou;diarietou
diégo;diego
diénaba;dienaba
diénéba;dieneba
dieudonné;dieudonne
dîna;dina
diyé;diye
djaël;djael
djaïna;djaina
djamaël;djamael
djélina;djelina
djémaël;djemael
djémy;djemy
djéna;djena
djénaba;djenaba
djénéba;djeneba
djimé;djime
dolorès;dolores
dorothée;dorothee
douâa;douaa
édan;edan
édem;edem
éden;eden
edène;edene
édith;edith
edmé;edme
edmée;edmee
édouard;edouard
efraïm;efraim
églantine;eglantine
eïden;eiden
eïleen;eileen
eiméo;eimeo
éla;ela
elaïa;elaia
elaïs;elais
élana;elana
élaura;elaura
élea;elea
eléah;eleah
eléana;eleana
eléane;eleane
eléanna;eleanna
eléanor;eleanor
eléanore;eleanore
élena;elena
eléona;eleona
eléonie;eleonie
éléonor;eleonor
eléonora;eleonora
éléonore;eleonore
éli;eli
élia;elia
éliakim;eliakim
éliam;eliam
élian;elian
éliana;eliana
éliane;eliane
élias;elias
éliaz;eliaz
élie;elie
éliel;eliel
eliès;elies
éliette;eliette
eliézer;eliezer
élif;elif
élijah;elijah
élina;elina
éline;eline
élinor;elinor
élio;elio
éliora;eliora
éliot;eliot
éliott;eliott
élisa;elisa
élisabeth;elisabeth
élise;elise
eliséa;elisea
élisée;elisee
eliséo;eliseo
élissa;elissa
éliya;eliya
éliz;eliz
éliza;eliza
élizabeth;elizabeth
élize;elize
elizéa;elizea
élizio;elizio
elléa;ellea
éllie;ellie
éloa;eloa
éloan;eloan
éloane;eloane
éloann;eloann
éloanne;eloanne
élodie;elodie
eloé;eloe
éloi;eloi
eloïc;eloic
eloïm;eloim
eloïne;eloine
eloïs;elois
eloïsa;eloisa
éloïse;eloise
éloïse;éloise
élona;elona
élora;elora
élouan;elouan
élouane;elouane
élouann;elouann
élouen;elouen
ély;ely
élya;elya
élyah;elyah
élyana;elyana
élyas;elyas
élyes;elyes
élyna;elyna
élyne;elyne
élynn;elynn
élyo;elyo
élysa;elysa
élyse;elyse
elyséa;elysea
elysée;elysee
élyssa;elyssa
elzéar;elzear
éma;ema
emaël;emael
emaëlle;emaelle
emélia;emelia
emélie;emelie
émeline;emeline
émelyne;emelyne
emérance;emerance
émeraude;emeraude
émeric;emeric
émerick;emerick
émi;emi
émie;emie
émil;emil
émile;emile
émilia;emilia
émilie;emilie
émilien;emilien
émilienne;emilienne
émilio;emilio
émily;emily
eminé;emine
émir;emir
émma;emma
émmy;emmy
emré;emre
émy;emy
enaël;enael
enaëlle;enaelle
enaïs;enais
énaya;enaya
enéa;enea
enélya;enelya
énes;enes
énoa;enoa
énoha;enoha
énola;enola
énora;enora
énorah;enorah
enriqué;enrique
éole;eole
ephraïm;ephraim
éponine;eponine
éric;eric
érica;erica
érick;erick
érika;erika
érin;erin
érina;erina
érine;erine
éros;eros
éryne;eryne
esaïe;esaie
esmé;esme
esmée;esmee
esméralda;esmeralda
espérance;esperance
espéranza;esperanza
estéban;esteban
estébane;estebane
estée;estee
estèle;estele
estévan;estevan
estève;esteve
esthéban;estheban
étan;etan
éthan;ethan
ethanaël;ethanael
éthann;ethann
étienne;etienne
eugène;eugene
eugénie;eugenie
euphémie;euphemie
éva;eva
evaëlle;evaelle
évan;evan
évana;evana
evangéline;evangeline
évann;evann
évans;evans
évariste;evariste
éve;eve
éveline;eveline
évelyne;evelyne
éven;even
évie;evie
évy;evy
éwen;ewen
éwenn;ewenn
exaucé;exauce
exaucée;exaucee
expédit;expedit
éya;eya
eylül;eylul
eyüp;eyup
ezéchiel;ezechiel
ezéckiel;ezeckiel
ezékiel;ezekiel
ezéquiel;ezequiel
ézio;ezio
fadéla;fadela
faël;fael
faiçal;faical
faïda;faida
faïka;faika
faïna;faina
faïrouz;fairouz
faïssal;faissal
faïz;faiz
faïza;faiza
fanélie;fanelie
farés;fares
fatéma;fatema
fatimé;fatime
fayçal;faycal
fédérico;federico
fédi;fedi
félice;felice
félicia;felicia
félicie;felicie
félicien;felicien
félicienne;felicienne
félicité;felicite
félicity;felicity
félix;felix
férial;ferial
fériel;feriel
férielle;ferielle
ferréol;ferreol
féryel;feryel
fidéline;fideline
floréal;floreal
florène;florene
fodé;fode
fodié;fodie
'fortuné;fortune ' fortune reste majoritaire
founé;foune
françis;francis
françois;francois
françoise;francoise
françois-xavier;francois-xavier
frédéric;frederic
frédérica;frederica
frédérick;frederick
frédérico;frederico
frédérik;frederik
'frédérique;frederique ' non trouvé dans le fichier 2020
frédy;fredy
'gabriel;gabriël ' non supporté dans ce sens (gabriël est minoritaire)
gabrièle;gabriele
'gabrielle;gabriëlle ' non trouvé
gabryël;gabryel
gaël;gael
gaëla;gaela
gaële;gaele
gaëlla;gaella
gaëlle;gaelle
gaétan;gaetan
gaétane;gaetane
gaëtanne;gaetanne
gaëtano;gaetano
gaëthan;gaethan
gaïa;gaia
gaïane;gaiane
gaïd;gaid
galatée;galatee
ganaël;ganael
ganaëlle;ganaelle
gayané;gayane
gébril;gebril
gédéon;gedeon
géna;gena
geneviève;genevieve
gérald;gerald
géraldine;geraldine
gérard;gerard
géraud;geraud
gérémy;geremy
gérome;gerome
géry;gery
ghaïs;ghais
ghilès;ghiles
ghizlène;ghizlene
giosuè;giosue
gisèle;gisele
gökay;gokay
gökhan;gokhan
gonçalo;goncalo
grâce;grace
grégoire;gregoire
grégor;gregor
grégori;gregori
grégorie;gregorie
grégory;gregory
guenaël;guenael
guénaëlle;guenaelle
guénola;guenola
guénolé;guenole
guéric;gueric
guilène;guilene
gül;gul
gülay;gulay
güler;guler
gülsen;gulsen
gülsüm;gulsum
güney;guney
gürkan;gurkan
guylène;guylene
gwanaëlle;gwanaelle
gwenaël;gwenael
gwenaële;gwenaele
gwenaëlle;gwenaelle
gwenhaël;gwenhael
gwennaël;gwennael
gwennaëlle;gwennaelle
gwénola;gwenola
gwenolé;gwenole
gwenvaël;gwenvael
hacène;hacene
hadès;hades
haï;hai
haïda;haida
haïden;haiden
haïder;haider
haïfa;haifa
haïkel;haikel
haïlé;haile
haïley;hailey
haïlie;hailie
haïly;haily
haïm;haim
haïna;haina
haïssam;haissam
haïtam;haitam
haïtem;haitem
haïtham;haitham
hâjar;hajar
hanaé;hanae
hanaëlle;hanaelle
hanène;hanene
hannaé;hannae
hâroun;haroun
harûn;harun
hawaï;hawai
haydée;haydee
hédi;hedi
hédia;hedia
hédy;hedy
heïdi;heidi
heïdy;heidy
héla;hela
héléa;helea
héléana;heleana
hélen;helen
hélena;helena
hélène;helene
héléonore;heleonore
hélia;helia
hélian;helian
héliana;heliana
héliane;heliane
hélias;helias
hélie;helie
hélin;helin
hélina;helina
héline;heline
hélio;helio
hélios;helios
héloise;heloise
hélori;helori
hélory;helory
hélya;helya
hélyana;helyana
hélyna;helyna
hélyne;helyne
hélyo;helyo
hénia;henia
hénoc;henoc
hénola;henola
hénora;henora
héol;heol
héra;hera
hermès;hermes
hervé;herve
héva;heva
hinatéa;hinatea
hïnd;hind
hisaé;hisae
hoël;hoel
honoré;honore
honorée;honoree
hülya;hulya
hümeyra;humeyra
hüseyin;huseyin
hüsna;husna
ibrahîm;ibrahim
idoïa;idoia
idrîs;idris
idrîss;idriss
ihsène;ihsene
ihssène;ihssene
iléa;ilea
iléana;ileana
iléane;ileane
ilèf;ilef
iléna;ilena
ilès;iles
iliés;ilies
illyès;illyes
iloé;iloe
ilyâs;ilyas
ilyés;ilyes
imaé;imae
imèn;imen
iméne;imene
imran;îmran
inaé;inae
inaïa;inaia
inaïs;inais
ïnaya;inaya
inès;ines
inèss;iness
iphigénie;iphigenie
iréna;irena
irène;irene
irenée;irenee
isaé;isae
isaï;isai
isaïa;isaia
isaïah;isaiah
isaïe;isaie
iséa;isea
isée;isee
ishaï;ishai
ishâq;ishaq
isïa;isia
ismaël;ismael
ismaëlle;ismaelle
ismahène;ismahene
ismaîl;ismail
ismaïla;ismaila
ismène;ismene
ismérie;ismerie
isrâ;isra
isrâa;israa
israël;israel
îssa;issa
ivanhoé;ivanhoe
izïa;izia
jadène;jadene
jaël;jael
jaëlle;jaelle
jaëlys;jaelys
jahël;jahel
jahïna;jahina
jahnaël;jahnael
jahnaëlle;jahnaelle
jaïd;jaid
jaïda;jaida
jaïden;jaiden
jaïlys;jailys
jaïna;jaina
jaïr;jair
jaïro;jairo
jaïs;jais
janaëlle;janaelle
janaïna;janaina
jean-cédric;jean-cedric
jean-côme;jean-come
jean-françois;jean-francois
jean-gaël;jean-gael
jean-jérôme;jean-jerome
jean-mickaël;jean-mickael
jean-régis;jean-regis
jéhan;jehan
jéhane;jehane
jéhanne;jehanne
jéléna;jelena
jémima;jemima
jémy;jemy
jéna;jena
jénna;jenna
jephté;jephte
jérémi;jeremi
jérémiah;jeremiah
jérémie;jeremie
jérémie;jéremie
jérémy;jeremy
jérémy;jéremy
jérémy;jerémy
jérome;jerome
jérome;jérôme ' 90% de jérome et 10% de jérôme (on peut aussi ajouter la variante jérôme comme homophone)
jéromine;jeromine
jéssica;jessica
jéssim;jessim
jésus;jesus
jézabel;jezabel
jibrîl;jibril
jihène;jihene
jinène;jinene
joannès;joannes
joâo;joao
'joé;joe ' Pour le moment on ne distingue pas les 2
joée;joee
joël;joel
joële;joele
joëlla;joella
joëlle;joelle
joévin;joevin
johaïna;johaina
jolène;jolene
jonaël;jonael
josé;jose
josée;josee
josélito;joselito
josépha;josepha
josèphe;josephe
joséphine;josephine
josué;josue
jouhaïna;jouhaina
jounaïd;jounaid
judicaël;judicael
judicaëlle;judicaelle
judickaël;judickael
judikaël;judikael
julia;jùlia
julian;jùlian
jurgen;jürgen
kaël;kael
kaëla;kaela
kaélan;kaelan
kaélia;kaelia
kaëlig;kaelig
kaëlla;kaella
kaëlly;kaelly
kaëly;kaely
kaélya;kaelya
kaëlyn;kaelyn
kaëlyne;kaelyne
kaëlys;kaelys
kaëna;kaena
kahéna;kahena
kahïl;kahil
kahïna;kahina
kahïs;kahis
kaï;kai
kaïa;kaia
kaïcy;kaicy
kaïden;kaiden
kaïl;kail
kaïla;kaila
kaïlan;kailan
kaïlly;kailly
kaïly;kaily
kaïlyne;kailyne
kaïlys;kailys
kaïm;kaim
kaïna;kaina
kaïs;kais
kaïss;kaiss
kaïssa;kaissa
kaïssy;kaissy
kaïto;kaito
kaléa;kalea
kâli;kali
kallisté;kalliste
kamélia;kamelia
kamélya;kamelya
kâmil;kamil
kandé;kande
karène;karene
kataléya;kataleya
kéan;kean
kéane;keane
kéhan;kehan
keïcy;keicy
keïla;keila
keïlan;keilan
keïlya;keilya
keïna;keina
keïra;keira
keïsha;keisha
keïssa;keissa
keïssy;keissy
kélan;kelan
kélhya;kelhya
kélia;kelia
kéliah;keliah
kélian;kelian
kéliana;keliana
kéliane;keliane
kéliann;keliann
kélim;kelim
kélina;kelina
kéline;keline
kélio;kelio
kélissa;kelissa
'kélly;kelly ' kelly reste majoritaire
kéllya;kellya
kéloan;keloan
kélya;kelya
kélyah;kelyah
kélyam;kelyam
kélyan;kelyan
kélyana;kelyana
kélyane;kelyane
kélyann;kelyann
kélyanna;kelyanna
kélyna;kelyna
kélyne;kelyne
kélyo;kelyo
kélyssa;kelyssa
kémi;kemi
kémil;kemil
kémuel;kemuel
kémy;kemy
kénael;kenael
kenaëlle;kenaelle
kenaï;kenai
kénan;kenan
kénaya;kenaya
kénoa;kenoa
kény;keny
kéo;keo
kéona;keona
kéoni;keoni
kéony;keony
kéran;keran
kérane;kerane
kérann;kerann
kéren;keren
kérian;kerian
kéryan;keryan
kéryann;keryann
késia;kesia
'késsy;kessy ' kessy reste majoritaire
kévan;kevan
kéven;keven
kévin;kevin
kévyn;kevyn
kéwan;kewan
kéyan;keyan
kézia;kezia
kéziah;keziah
kézian;kezian
kézio;kezio
kézya;kezya
khaïna;khaina
khaïs;khais
kheïla;kheila
kheïra;kheira
khélia;khelia
khélya;khelya
khémis;khemis
khéo;kheo
khéphren;khephren
khloé;khloe
kïara;kiara
kiéra;kiera
kiéran;kieran
kiméa;kimea
kiméo;kimeo
kinaï;kinai
kivanç;kivanc
kléa;klea
kléber;kleber
klélia;klelia
klélya;klelya
klément;klement
kléo;kleo
kloé;kloe
kübra;kubra
kyéran;kyeran
kynaï;kynai
laël;lael
laëla;laela
laélia;laelia
laélie;laelie
laëlle;laelle
laéna;laena
laëticia;laeticia
lætitia;laetitia
lahcène;lahcene
laïa;laia
laïana;laiana
laïd;laid
laïka;laika
laïla;laila
laïli;laili
laïlla;lailla
laïly;laily
laïna;laina
laïs;lais
laïssa;laissa
lanaé;lanae
lauréana;laureana
lauréane;laureane
laurélia;laurelia
laurélie;laurelie
lauréline;laureline
laurélyne;laurelyne
lauréna;laurena
lauréne;laurene
layâ;laya
léa;lea
léah;leah
léan;lean
léana;leana
léanah;leanah
léandra;leandra
léandre;leandre
léandro;leandro
léane;leane
léanie;leanie
léann;leann
léanna;leanna
léanne;leanne
léanor;leanor
léanore;leanore
léany;leany
léha;leha
léhana;lehana
léhane;lehane
léhna;lehna
lého;leho
léhyan;lehyan
léia;leia
leïana;leiana
leïla;leila
leïlana;leilana
leïlani;leilani
leïlanie;leilanie
leïlany;leilany
leïlou;leilou
leïly;leily
léina;leina
leïs;leis
leïssa;leissa
leïto;leito
leïya;leiya
lélia;lelia
lélian;lelian
léliana;leliana
lélie;lelie
lélio;lelio
lélya;lelya
lélyo;lelyo
lémuel;lemuel
lémy;lemy
léna;lena
lénael;lenael
lénaelle;lenaelle
lénah;lenah
lenaïc;lenaic
lenaïck;lenaick
lenaïg;lenaig
lénaïk;lenaik
lenaïs;lenais
lénaya;lenaya
léni;leni
lénie;lenie
lénna;lenna
'lénny;lenny ' lenny reste majoritaire
léno;leno
lénora;lenora
'lény;leny ' leny reste majortaire
léo;leo
léocadie;leocadie
léoline;leoline
léon;leon
léona;leona
léonard;leonard
léonardo;leonardo
léonce;leonce
léone;leone
léonel;leonel
léoni;leoni
léonid;leonid
léonidas;leonidas
léonie;leonie
léonille;leonille
léonin;leonin
léonis;leonis
léonna;leonna
léonne;leonne
léonnie;leonnie
léonny;leonny
léonor;leonor
léonora;leonora
léonore;leonore
léontin;leontin
léontine;leontine
léony;leony
léonys;leonys
léopaul;leopaul
léo-paul;leo-paul
léopol;leopol
léopold;leopold
léopoldine;leopoldine
léora;leora
lésia;lesia
léticia;leticia
létitia;letitia
létizia;letizia
lévan;levan
lévana;levana
lévanah;levanah
lévi;levi
lévon;levon
lévy;levy
lévyn;levyn
léwis;lewis
léxie;lexie
léxy;lexy
léya;leya
léyan;leyan
léyana;leyana
léyann;leyann
léyanna;leyanna
léyna;leyna
lhéa;lhea
lhéna;lhena
lhéo;lheo
lïa;lia
lïam;liam
lïana;liana
liberté;liberte
liêm;liem
lilé;lile
liléa;lilea
liloé;liloe
lîna;lina
linaëlle;linaelle
linès;lines
linoï;linoi
liséa;lisea
livaï;livai
lïya;liya
lizéa;lizea
loaï;loai
loé;loe
loeïza;loeiza
loélia;loelia
loélie;loelie
loéline;loeline
loély;loely
loélya;loelya
loën;loen
loéna;loena
loénie;loenie
loënn;loenn
loétitia;loetitia
loéva;loeva
loévan;loevan
loévann;loevann
loëza;loeza
loïc;loic
loïca;loica
loïce;loice
loïcia;loicia
loïck;loick
loïg;loig
loïk;loik
loïna;loina
loïs;lois
loïsa;loisa
loïse;loise
loïza;loiza
lorédana;loredana
lorelaï;lorelai
loreleï;lorelei
lorélia;lorelia
lorélie;lorelie
loréline;loreline
lorélyne;lorelyne
loréna;lorena
lorène;lorene
louaï;louai
loueï;louei
louën;louen
louéna;louena
louéva;loueva
'louïs;louis ' louis reste majoritaire
louïsa;louisa
louïse;louise
loujaïn;loujain
loujaïne;loujaine
louméa;loumea
louméo;loumeo
lounéa;lounea
lounés;lounes
lourenço;lourenco
lovaïna;lovaina
luca;lùca
lucas;lùcas
lucia;lùcia
lucrèce;lucrece
luis;lùis
luka;lùka
lùna;luna
luqmân;luqman
lutèce;lutece
lydéric;lyderic
lyès;lyes
lynaëlle;lynaelle
lynès;lynes
lyséa;lysea
lyzéa;lyzea
macéo;maceo
maciré;macire
maé;mae
maée;maee
maël;mael
maéla;maela
maélan;maelan
maélane;maelane
maëlann;maelann
maëlanne;maelanne
maële;maele
maëleen;maeleen
maëlenn;maelenn
maéli;maeli
maélia;maelia
maëlian;maelian
maëlice;maelice
maëlick;maelick
maélie;maelie
maëlig;maelig
maëlik;maelik
maëlina;maelina
maéline;maeline
maélio;maelio
maélis;maelis
'maëlis;maelis ' doublon sur la correction !
maëlise;maelise
maëliss;maeliss
maëlisse;maelisse
maëlla;maella
maëllane;maellane
maëlle;maelle
maëllia;maellia
maëllie;maellie
maëlline;maelline
maëllis;maellis
maélly;maelly
maëllya;maellya
maëllyne;maellyne
maëllys;maellys
maélo;maelo
maé-lou;mae-lou
maëlou;maelou
maëlwenn;maelwenn
maély;maely
maélya;maelya
maëlyce;maelyce
maëlye;maelye
maëlyn;maelyn
maëlyna;maelyna
maélyne;maelyne
maëlynn;maelynn
maélys;maelys
'maëlys;maelys ' doublon sur la correction !
maëlyse;maelyse
maélyss;maelyss
maélysse;maelysse
maéna;maena
maéra;maera
maéron;maeron
maëssa;maessa
maéva;maeva
maévan;maevan
maëvane;maevane
maëve;maeve
maëwen;maewen
maëwenn;maewenn
magdaléna;magdalena
mahé;mahe
mahédine;mahedine
mahée;mahee
mahël;mahel
mahélia;mahelia
mahéra;mahera
mahéry;mahery
mahéva;maheva
mahïna;mahina
maï;mai
maïa;maia
maïalen;maialen
maïana;maiana
maïann;maiann
maïcky;maicky
maïda;maida
maïder;maider
maïdine;maidine
maïdy;maidy
maïeul;maieul
maïka;maika
maïky;maiky
maïla;maila
maïlan;mailan
maï-lan;mai-lan
maïlane;mailane
maïlé;maile
maïlee;mailee
maï-lee;mai-lee
maïleen;maileen
maïley;mailey
maïli;maili
maï-li;mai-li
maïlie;mailie
maïline;mailine
maï-linh;mai-linh
maïlis;mailis
maïlly;mailly
maïllys;maillys
maïlo;mailo
maïlou;mailou
maïly;maily
maï-ly;mai-ly
maïlye;mailye
maïlyn;mailyn
maïlyne;mailyne
maïlynn;mailynn
maïlys;mailys
maïlyss;mailyss
maïlysse;mailysse
maïmouna;maimouna
maïna;maina
maïra;maira
maïron;mairon
maïsa;maisa
maïsha;maisha
maïssa;maissa
maïssaa;maissaa
maïssae;maissae
maïssam;maissam
maïssan;maissan
maïssane;maissane
maïssara;maissara
maïssem;maissem
maïssene;maissene
maïte;maite
maïtena;maitena
maïthé;maithe
maïva;maiva
maïween;maiween
maïwen;maiwen
maïwenn;maiwenn
maïwenne;maiwenne
maïya;maiya
maïza;maiza
makéda;makeda
malaïka;malaika
'malèk;malek ' malek reste majoritaire
maléna;malena
malïa;malia
'mâlik;malik
mallé;malle
maloé;maloe
'malône;malone ' malone reste majoritaire
manaé;manae
manaël;manael
manaëlle;manaelle
manassé;manasse
manavaï;manavai
mané;mane
manéa;manea
'manèl;manel ' manel reste majoritaire
manèle;manele
manëlle;manelle
manéo;maneo
manoé;manoe
manoël;manoel
manuéla;manuela
maoudé;maoude
marc-aurèle;marc-aurele
mardoché;mardoche
mardochée;mardochee
marème;mareme
maréva;mareva
maria-dolorès;maria-dolores
maria-héléna;maria-helena
marie-adélaïde;marie-adelaide
marie-angélique;marie-angelique
marie-bénédicte;marie-benedicte
marie-danièle;marie-daniele
marie-dolorès;marie-dolores
marie-élise;marie-elise
marie-françoise;marie-francoise
marie-gaëlle;marie-gaelle
marie-hélène;marie-helene
marie-josé;marie-jose
marie-josée;marie-josee
